Industry,Symbol
Fast Moving Consumer Goods,HINDUNILVR
Metals & Mining,HINDZINC
Capital Goods,POWERINDIA
Financial Services,HOMEFIRST
Fast Moving Consumer Goods,HONASA
Capital Goods,HONAUT
Financial Services,HUDCO
Automobile and Auto Components,HYUNDAI
Financial Services,ICICIBANK
Financial Services,ICICIGI
Financial Services,ICICIPRULI
Financial Services,IDBI
Financial Services,IDFCFIRSTB
Consumer Durables,IFBIND
Financial Services,IFCI
Financial Services,IIFLCAPS
Financial Services,IIFL
Capital Goods,INOXINDIA
Construction,IRB
Construction,IRCON
Consumer Services,ITCHOTELS
Fast Moving Consumer Goods,ITC
Telecommunication,ITI
Consumer Services,IMAGICAA
Healthcare,INDGN
Construction Materials,INDIACEM
Fast Moving Consumer Goods,INDIAGLYCO
Financial Services,INDIASHLTR
Consumer Services,INDIAMART
Financial Services,INDIANB
Financial Services,IEX
Consumer Services,INDHOTEL
Metals & Mining,IMFA
Oil Gas & Consumable Fuels,IOC
Financial Services,IOB
Consumer Services,IRCTC
Financial Services,IRFC
Financial Services,IREDA
Consumer Durables,INDIGOPNTS
Textiles,ICIL
Oil Gas & Consumable Fuels,IGL
Telecommunication,INDUSTOWER
Financial Services,INDUSINDBK
Consumer Services,NAUKRI
Information Technology,INFY
Capital Goods,INGERRAND
Healthcare,INNOVACAP
Power,INOXGREEN
Capital Goods,INOXWIND
Information Technology,INTELLECT
Services,INDIGO
Services,IGIL
Information Technology,IKS
Utilities,IONEXCHANG
Healthcare,IPCALAB
Construction,ISGEC
Healthcare,JBCHEPHARM
Construction Materials,JKCEMENT
Construction,JKIL
Automobile and Auto Components,JBMA
Construction Materials,JKLAKSHMI
Forest Materials,JKPAPER
Automobile and Auto Components,JKTYRE
Financial Services,JMFINANCIL
Construction Materials,JSWCEMENT
Power,JSWENERGY
Services,JSWINFRA
Metals & Mining,JSWSTEEL
Metals & Mining,JAIBALAJI
Capital Goods,JISLJALEQS
Power,JPPOWER
Financial Services,J&KBANK
Automobile and Auto Components,JAMNAAUTO
Financial Services,JSFB
Capital Goods,JINDALSAW
Metals & Mining,JSL
Metals & Mining,JINDALSTEL
Textiles,JINDWORLD
Financial Services,JIOFIN
Consumer Services,JUBLFOOD
Chemicals,JUBLINGREA
Healthcare,JUBLPHARMA
Capital Goods,JWL
Consumer Services,JUSTDIAL
Fast Moving Consumer Goods,JYOTHYLAB
Capital Goods,JYOTICNC
Textiles,KPRMILL
Capital Goods,KEI
Construction,KNRCON
Power,KPIGREEN
Information Technology,KPITTECH
Fast Moving Consumer Goods,KRBL
Capital Goods,KRN
Capital Goods,KSB
Consumer Durables,KAJARIACER
Construction,KPIL
Consumer Durables,KALYANKJIL
Capital Goods,KSL
Consumer Durables,KANSAINER
Financial Services,KTKBANK
Financial Services,KARURVYSYA
Fast Moving Consumer Goods,KSCL
Capital Goods,KAYNES
Construction,KEC
Financial Services,KFINTECH
Capital Goods,KIRLOSBROS
Capital Goods,KIRLOSENG
Capital Goods,KIRLPNU
Textiles,KITEX
Financial Services,KOTAKBANK
Healthcare,KIMS
Financial Services,LTF
Information Technology,LTTS
Financial Services,LICHSGFIN
Capital Goods,LMW
Fast Moving Consumer Goods,LTFOODS
Information Technology,LTM
Construction,LT
Information Technology,LATENTVIEW
Healthcare,LAURUSLABS
Chemicals,LXCHEM
Consumer Services,IXIGO
Consumer Services,THELEELA
Consumer Services,LEMONTREE
Financial Services,LICI
Chemicals,LINDEINDIA
Capital Goods,LLOYDSENGG
Metals & Mining,LLOYDSENT
Metals & Mining,LLOYDSME
Realty,LODHA
Automobile and Auto Components,LUMAXTECH
Healthcare,LUPIN
Textiles,LUXIND
Services,MMTC
Metals & Mining,MOIL
Automobile and Auto Components,MRF
Services,MSTCLTD
Capital Goods,MTARTECH
Oil Gas & Consumable Fuels,MGL
Financial Services,MAHSCOOTER
Capital Goods,MAHSEAMLES
Financial Services,M&MFIN
Automobile and Auto Components,M&M
Realty,MAHLIFE
Construction,MANINFRA
Financial Services,MANAPPURAM
Oil Gas & Consumable Fuels,MRPL
Healthcare,MANKIND
Fast Moving Consumer Goods,MANORAMA
Fast Moving Consumer Goods,MARICO
Healthcare,MARKSANS
Automobile and Auto Components,MARUTI
Information Technology,MASTEK
Realty,MAXESTATES
Financial Services,MFSL
Healthcare,MAXHEALTH
Capital Goods,MAZDOCK
Consumer Services,MEDPLUS
Healthcare,METROPOLIS
Automobile and Auto Components,MINDACORP
Capital Goods,MIDHANI
Automobile and Auto Components,MSUMI
Financial Services,MOTILALOFS
Information Technology,MPHASIS
Fast Moving Consumer Goods,BECTORFOOD
Financial Services,MCX
Financial Services,MUTHOOTFIN
Healthcare,NATCOPHARM
Construction,NBCC
Construction,NCC
Chemicals,NEOGEN
Services,NESCO
Power,NHPC
Power,NLCINDIA
Metals & Mining,NMDC
Metals & Mining,NSLNISP
Power,NTPCGREEN
Power,NTPC
Healthcare,NH
Metals & Mining,NATIONALUM
Chemicals,NFL
Power,NAVA
Chemicals,NAVINFLUOR
Media Entertainment & Publication,NAZARA
Fast Moving Consumer Goods,NESTLEIND
Information Technology,NETWEB
Media Entertainment & Publication,NETWORK18
Healthcare,NEULANDLAB
Information Technology,NEWGEN
Financial Services,NAM-INDIA
Financial Services,NIVABUPA
Financial Services,NUVAMA
Construction Materials,NUVOCO
Realty,OBEROIRLTY
Oil Gas & Consumable Fuels,ONGC
Oil Gas & Consumable Fuels,OIL
Automobile and Auto Components,OLAELEC
Automobile and Auto Components,OLECTRA
Financial Services,PAYTM
Healthcare,ONESOURCE
Telecommunication,OPTIEMUS
Information Technology,OFSS
Healthcare,ORCHPHARMA
Construction Materials,ORIENTCEM
Capital Goods,OSWALPUMPS
Consumer Durables,PNGJL
Financial Services,POLICYBZR
Consumer Durables,PCJEWELLER
Chemicals,PCBL
Consumer Durables,PGEL
Chemicals,PIIND
Financial Services,PNBHOUSING
Construction,PNCINFRA
Power,PTC
Capital Goods,PTCIL
Media Entertainment & Publication,PVRINOX
Textiles,PAGEIND
Chemicals,PARADEEP
Capital Goods,PARAS
Fast Moving Consumer Goods,PATANJALI
Construction,PATELENG
Textiles,PGIL
Information Technology,PERSISTENT
Oil Gas & Consumable Fuels,PETRONET
Healthcare,PFIZER
Realty,PHOENIXLTD
Chemicals,PIDILITIND
Healthcare,PPLPHARMA
Healthcare,POLYMED
Capital Goods,POLYCAB
Capital Goods,POLYPLEX
Financial Services,POONAWALLA
Financial Services,PFC
Power,POWERGRID
Construction,POWERMECH
Capital Goods,PRAJIND
Capital Goods,PREMIERENE
Realty,PRESTIGE
Automobile and Auto Components,PRICOLLTD
Capital Goods,PRINCEPIPE
Construction Materials,PRSMJOHNSN
Chemicals,PRIVISCL
Fast Moving Consumer Goods,PGHH
Financial Services,PRUDENT
Financial Services,PNB
Realty,PURVA
Services,QUESS
Capital Goods,RRKABEL
Financial Services,RBLBANK
Financial Services,RECLTD
Capital Goods,RHIM
Construction,RITES
Fast Moving Consumer Goods,RADICO
Construction,RVNL
Telecommunication,RAILTEL
Chemicals,RAIN
Healthcare,RAINBOW
Chemicals,RALLIS
Automobile and Auto Components,RKFORGE
Chemicals,RCF
Information Technology,RATEGAIN
Capital Goods,RATNAMANI
Consumer Services,RTNINDIA
Power,RTNPOWER
Textiles,RAYMONDLSL
Services,REDINGTON
Chemicals,REFEX
Consumer Durables,RELAXO
Oil Gas & Consumable Fuels,RELIANCE
Power,RELINFRA
Power,RPOWER
Financial Services,RELIGARE
Consumer Services,RBA
Telecommunication,ROUTE
Financial Services,SBFC
Financial Services,SBICARD
Financial Services,SBILIFE
Power,SJVN
Consumer Durables,SKYGOLD
Chemicals,SRF
Consumer Durables,SAFARI
Information Technology,SAGILITY
Healthcare,SAILIFE
Consumer Services,SAMHI
Financial Services,SAMMAANCAP
Automobile and Auto Components,MOTHERSON
Oil Gas & Consumable Fuels,SANDUMA
Healthcare,SANOFICONR
Healthcare,SANOFI
Automobile and Auto Components,SANSERA
Consumer Services,SAPPHIRE
Metals & Mining,SARDAEN
Media Entertainment & Publication,SAREGAMA
Automobile and Auto Components,SCHAEFFLER
Capital Goods,SCHNEIDER
Consumer Durables,SENCO
Capital Goods,SHAILY
Capital Goods,SHAKTIPUMP
Chemicals,SHARDACROP
Automobile and Auto Components,SHARDAMOTR
Financial Services,SHAREINDIA
Consumer Durables,SFL
Healthcare,SHILPAMED
Services,SCI
Construction Materials,SHREECEM
Fast Moving Consumer Goods,RENUKA
Financial Services,SHRIRAMFIN
Automobile and Auto Components,SHRIPISTON
Capital Goods,SHYAMMETL
Capital Goods,ENRIN
Capital Goods,SIEMENS
Realty,SIGNATURE
Capital Goods,SKIPPER
Realty,SOBHA
Chemicals,SOLARINDS
Automobile and Auto Components,SONACOMS
Information Technology,SONATSOFTW
Financial Services,SOUTHBANK
Construction Materials,STARCEMENT
Financial Services,STARHEALTH
Financial Services,SBIN
Metals & Mining,SAIL
Construction,SWSOLAR
Telecommunication,STLTECH
Healthcare,STAR
Chemicals,STYRENIX
Capital Goods,SUBROS
Chemicals,SUDARSCHEM
Chemicals,SUMICHEM
Healthcare,SPARC
Healthcare,SUNPHARMA
Media Entertainment & Publication,SUNTV
Financial Services,SUNDARMFIN
Automobile and Auto Components,SUNDRMFAST
Capital Goods,SUNFLAG
Realty,SUNTECK
Capital Goods,SUPREMEIND
Healthcare,SUPRIYA
Capital Goods,SURYAROSNI
Capital Goods,SUZLON
Chemicals,SWANCORP
Consumer Services,SWIGGY
Consumer Durables,SYMPHONY
Healthcare,SYNGENE
Capital Goods,SYRMA
Realty,TARC
Consumer Services,TBOTEK
Capital Goods,TDPOWERSYS
Financial Services,TSFINV
Automobile and Auto Components,TVSMOTOR
Services,TVSSCS
Information Technology,TANLA
Chemicals,TATACHEM
Telecommunication,TATACOMM
Information Technology,TCS
Fast Moving Consumer Goods,TATACONSUM
Information Technology,TATAELXSI
Financial Services,TATAINVEST
Automobile and Auto Components,TMPV
Power,TATAPOWER
Metals & Mining,TATASTEEL
Information Technology,TATATECH
Telecommunication,TTML
Services,TEAMLEASE
Information Technology,TECHM
Construction,TECHNOE
Capital Goods,TEGA
Telecommunication,TEJASNET
Capital Goods,TEXRAIL
Consumer Durables,THANGAMAYL
Capital Goods,ANUP
Financial Services,NIACL
Construction Materials,RAMCOCEM
Capital Goods,THERMAX
Consumer Services,THOMASCOOK
Healthcare,THYROCARE
Fast Moving Consumer Goods,TI
Capital Goods,TIMETECHNO
Capital Goods,TIMKEN
Media Entertainment & Publication,TIPSMUSIC
Capital Goods,TITAGARH
Consumer Durables,TITAN
Healthcare,TORNTPHARM
Power,TORNTPOWER
Capital Goods,TARIL
Capital Goods,TRANSRAILL
Consumer Services,TRENT
Textiles,TRIDENT
Fast Moving Consumer Goods,TRIVENI
Capital Goods,TRITURBINE
Automobile and Auto Components,TIINDIA
Financial Services,UCOBANK
Automobile and Auto Components,UNOMINDA
Chemicals,UPL
Financial Services,UTIAMC
Financial Services,UJJIVANSFB
Construction Materials,ULTRACEMCO
Capital Goods,UNIMECH
Financial Services,UNIONBANK
Fast Moving Consumer Goods,UBL
Fast Moving Consumer Goods,UNITDSPR
Capital Goods,USHAMART
Consumer Durables,VGUARD
Consumer Services,VMART
Consumer Durables,VIPIND
Consumer Services,V2RETAIL
Fast Moving Consumer Goods,VSTIND
Utilities,WABAG
Consumer Durables,VAIBHAVGBL
Consumer Services,DBREALTY
Textiles,VTL
Automobile and Auto Components,VARROC
Fast Moving Consumer Goods,VBL
Consumer Services,MANYAVAR
Metals & Mining,VEDL
Consumer Services,VENTIVE
Capital Goods,VESUVIUS
Healthcare,VIJAYA
Chemicals,VINATIORGA
Consumer Services,VMM
Healthcare,VIYASH
Telecommunication,IDEA
Capital Goods,VOLTAMP
Consumer Durables,VOLTAS
Capital Goods,WAAREEENER
Capital Goods,WAAREERTL
Capital Goods,WEBELSOLAR
Capital Goods,WELCORP
Construction,WELENT
Textiles,WELSPUNLIV
Consumer Services,WESTLIFE
Consumer Durables,WHIRLPOOL
Information Technology,WIPRO
Healthcare,WOCKPHARMA
Healthcare,YATHARTH
Financial Services,YESBANK
Automobile and Auto Components,ZFCVINDIA
Information Technology,ZAGGLE
Media Entertainment & Publication,ZEEL
Capital Goods,ZENTEC
Information Technology,ZENSARTECH
Healthcare,ZYDUSLIFE
Fast Moving Consumer Goods,ZYDUSWELL
Services,ECLERX
Information Technology,EMUDHRA
