Symbol,Company Name,Sector
CAMPUS,Campus Activewear Ltd.,Consumer Durables
CANFINHOME,Can Fin Homes Ltd.,Financial Services
CANBK,Canara Bank,Financial Services
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare
CGCL,Capri Global Capital Ltd.,Financial Services
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods
CARTRADE,Cartrade Tech Ltd.,Consumer Services
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels
CEATLTD,Ceat Ltd.,Automobile and Auto Components
CEIGALL,Ceigall India Ltd.,Construction
CELLO,Cello World Ltd.,Consumer Durables
CEMPRO,Cemindia Projects Ltd.,Construction
CENTRALBK,Central Bank of India,Financial Services
CDSL,Central Depository Services (India) Ltd.,Financial Services
CENTURYPLY,Century Plyboards (India) Ltd.,Consumer Durables
CERA,Cera Sanitaryware Ltd,Consumer Durables
CHALET,Chalet Hotels Ltd.,Consumer Services
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
CHOICEIN,Choice International Ltd.,Financial Services
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services
CIGNITITEC,Cigniti Technologies Ltd.,Information Technology
CIPLA,Cipla Ltd.,Healthcare
CUB,City Union Bank Ltd.,Financial Services
CLEAN,Clean Science and Technology Ltd.,Chemicals
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods
COFORGE,Coforge Ltd.,Information Technology
COHANCE,Cohance Lifesciences Ltd.,Healthcare
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
CAMS,Computer Age Management Services Ltd.,Financial Services
CONCORDBIO,Concord Biotech Ltd.,Healthcare
CONCOR,Container Corporation of India Ltd.,Services
COROMANDEL,Coromandel International Ltd.,Chemicals
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components
CREDITACC,CreditAccess Grameen Ltd.,Financial Services
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables
CUMMINSIND,Cummins India Ltd.,Capital Goods
CYIENTDLM,Cyient DLM Ltd.,Capital Goods
CYIENT,Cyient Ltd.,Information Technology
DCBBANK,DCB Bank Ltd.,Financial Services
DCMSHRIRAM,DCM Shriram Ltd.,Diversified
DLF,DLF Ltd.,Realty
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods
DATAMATICS,Datamatics Global Services Ltd.,Information Technology
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals
DELHIVERY,Delhivery Ltd.,Services
DEVYANI,Devyani International Ltd.,Consumer Services
DHANUKA,Dhanuka Agritech Ltd.,Chemicals
DIACABS,Diamond Power Infrastructure Ltd.,Capital Goods
DBL,Dilip Buildcon Ltd.,Construction
DCAL,Dishman Carbogen Amcis Ltd.,Healthcare
DIVISLAB,Divi's Laboratories Ltd.,Healthcare
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables
DODLA,Dodla Dairy Ltd.,Fast Moving Consumer Goods
AGARWALEYE,Dr. Agarwal's Health Care Ltd.,Healthcare
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare
DUMMYALCAR,Dummy Allcargo Logistics Ltd.,Services
DYNAMATECH,Dynamatic Technologies Ltd.,Capital Goods
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods
EIHOTEL,EIH Ltd.,Consumer Services
EPL,EPL Ltd.,Capital Goods
EASEMYTRIP,Easy Trip Planners Ltd.,Consumer Services
EDELWEISS,Edelweiss Financial Services Ltd.,Financial Services
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components
ELECON,Elecon Engineering Co. Ltd.,Capital Goods
EMIL,Electronics Mart India Ltd.,Consumer Services
ELECTCAST,Electrosteel Castings Ltd.,Capital Goods
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods
EMBDL,Embassy Developments Ltd.,Realty
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components
ENGINERSIN,Engineers India Ltd.,Construction
ENTERO,Entero Healthcare Solutions Ltd.,Consumer Services
EIEL,Enviro Infra Engineers Ltd.,Utilities
EPIGRAL,Epigral Ltd.,Chemicals
EQUITASBNK,Equitas Small Finance Bank Ltd.,Financial Services
ERIS,Eris Lifesciences Ltd.,Healthcare
ESCORTS,Escorts Kubota Ltd.,Capital Goods
ETERNAL,Eternal Ltd.,Consumer Services
ETHOSLTD,Ethos Ltd.,Consumer Durables
EUREKAFORB,Eureka Forbes Ltd.,Consumer Durables
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components
FDC,FDC Ltd.,Healthcare
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services
FEDERALBNK,Federal Bank Ltd.,Financial Services
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals
FIEMIND,Fiem Industries Ltd,Automobile and Auto Components
FINEORG,Fine Organic Industries Ltd.,Chemicals
FINCABLES,Finolex Cables Ltd.,Capital Goods
FINPIPE,Finolex Industries Ltd.,Capital Goods
FSL,Firstsource Solutions Ltd.,Services
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components
FORTIS,Fortis Healthcare Ltd.,Healthcare
GRINFRA,G R Infraprojects Ltd.,Construction
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels
GVT&D,GE Vernova T&D India Ltd.,Capital Goods
GHCL,GHCL Ltd.,Chemicals
GMMPFAUDLR,GMM Pfaudler Ltd.,Capital Goods
GMRAIRPORT,GMR Airports Ltd.,Services
GMRP&UI,GMR Power and Urban Infra Ltd.,Power
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components
GALLANTT,Gallantt Ispat Ltd.,Capital Goods
GANESHHOU,Ganesh Housing Ltd.,Realty
GANECOS,Ganesha Ecosphere Ltd.,Textiles
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods
GRWRHITECH,Garware Hi-Tech Films Ltd.,Capital Goods
GARFIBRES,Garware Technical Fibres Ltd.,Textiles
GATEWAY,Gateway Distriparks Ltd.,Services
GICRE,General Insurance Corporation of India,Financial Services
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods
GLAND,Gland Pharma Ltd.,Healthcare
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare
MEDANTA,Global Health Ltd.,Healthcare
GODIGIT,Go Digit General Insurance Ltd.,Financial Services
GPIL,Godawari Power & Ispat Ltd.,Capital Goods
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods
GODREJAGRO,Godrej Agrovet Ltd.,Fast Moving Consumer Goods
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods
GODREJIND,Godrej Industries Ltd.,Diversified
GODREJPROP,Godrej Properties Ltd.,Realty
GOKEX,Gokaldas Exports Ltd.,Textiles
GRANULES,Granules India Ltd.,Healthcare
GRAPHITE,Graphite India Ltd.,Capital Goods
GRASIM,Grasim Industries Ltd.,Construction Materials
GRAVITA,Gravita India Ltd.,Metals & Mining
GESHIP,Great Eastern Shipping Co. Ltd.,Services
GREAVESCOT,Greaves Cotton Ltd.,Capital Goods
GREENPANEL,Greenpanel Industries Ltd.,Consumer Durables
GAEL,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals
GUJGASLTD,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals
GPPL,Gujarat Pipavav Port Ltd.,Services
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals
GSPL,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels
GULFOILLUB,Gulf Oil Lubricants India Ltd.,Oil Gas & Consumable Fuels
HEG,H.E.G. Ltd.,Capital Goods
HGINFRA,H.G. Infra Engineering Ltd.,Construction
HBLENGINE,HBL Engineering Ltd.,Capital Goods
HCLTECH,HCL Technologies Ltd.,Information Technology
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services
HDFCBANK,HDFC Bank Ltd.,Financial Services
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services
HFCL,HFCL Ltd.,Telecommunication
HAPPSTMNDS,Happiest Minds Technologies Ltd.,Information Technology
HAVELLS,Havells India Ltd.,Consumer Durables
HCG,Healthcare Global Enterprises Ltd.,Healthcare
HEMIPROP,Hemisphere Properties India Ltd.,Services
HERITGFOOD,Heritage Foods Ltd.,Fast Moving Consumer Goods
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components
HEXT,Hexaware Technologies Ltd.,Information Technology
HIKAL,Hikal Ltd.,Healthcare
HSCL,Himadri Speciality Chemical Ltd.,Chemicals
HINDALCO,Hindalco Industries Ltd.,Metals & Mining
HAL,Hindustan Aeronautics Ltd.,Capital Goods
HCC,Hindustan Construction Co. Ltd.,Construction
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods
HONAUT,Honeywell Automation India Ltd.,Capital Goods
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components
ICICIBANK,ICICI Bank Ltd.,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services
IDBI,IDBI Bank Ltd.,Financial Services
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services
IFBIND,IFB Industries Ltd.,Consumer Durables
IFCI,IFCI Ltd.,Financial Services
IIFLCAPS,IIFL Capital Services Ltd.,Financial Services
IIFL,IIFL Finance Ltd.,Financial Services
INOXINDIA,INOX India Ltd.,Capital Goods
IRB,IRB Infrastructure Developers Ltd.,Construction
IRCON,IRCON International Ltd.,Construction
ITCHOTELS,ITC Hotels Ltd.,Consumer Services
ITC,ITC Ltd.,Fast Moving Consumer Goods
ITI,ITI Ltd.,Telecommunication
IMAGICAA,Imagicaaworld Entertainment Ltd.,Consumer Services
INDGN,Indegene Ltd.,Healthcare
INDIACEM,India Cements Ltd.,Construction Materials
INDIAGLYCO,India Glycols Ltd.,Fast Moving Consumer Goods
INDIASHLTR,India Shelter Finance Corporation Ltd.,Financial Services
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services
INDIANB,Indian Bank,Financial Services
IEX,Indian Energy Exchange Ltd.,Financial Services
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services
IMFA,Indian Metals & Ferro Alloys Ltd.,Metals & Mining
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels
IOB,Indian Overseas Bank,Financial Services
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services
INDIGOPNTS,Indigo Paints Ltd.,Consumer Durables
ICIL,Indo Count Industries Ltd.,Textiles
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels
INDUSTOWER,Indus Towers Ltd.,Telecommunication
INDUSINDBK,IndusInd Bank Ltd.,Financial Services
NAUKRI,Info Edge (India) Ltd.,Consumer Services
INFY,Infosys Ltd.,Information Technology
INGERRAND,Ingersoll Rand (India) Ltd.,Capital Goods
INNOVACAP,Innova Captab Ltd.,Healthcare
INOXGREEN,Inox Green Energy Services Ltd.,Power
INOXWIND,Inox Wind Ltd.,Capital Goods
INTELLECT,Intellect Design Arena Ltd.,Information Technology
INDIGO,InterGlobe Aviation Ltd.,Services
IGIL,International Gemmological Institute (India) Ltd.,Services
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology
IONEXCHANG,Ion Exchange (India) Ltd.,Utilities
IPCALAB,Ipca Laboratories Ltd.,Healthcare
ISGEC,Isgec Heavy Engineering Ltd.,Construction
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare
JKCEMENT,J.K. Cement Ltd.,Construction Materials
JKIL,J.Kumar Infraprojects Ltd.,Construction
JBMA,JBM Auto Ltd.,Automobile and Auto Components
JKLAKSHMI,JK Lakshmi Cement Ltd.,Construction Materials
JKPAPER,JK Paper Ltd.,Forest Materials
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components
JMFINANCIL,JM Financial Ltd.,Financial Services
JSWCEMENT,JSW Cement Ltd.,Construction Materials
JSWENERGY,JSW Energy Ltd.,Power
JSWINFRA,JSW Infrastructure Ltd.,Services
JSWSTEEL,JSW Steel Ltd.,Metals & Mining
JAIBALAJI,Jai Balaji Industries Ltd.,Metals & Mining
JISLJALEQS,Jain Irrigation Systems Ltd.,Capital Goods
JPPOWER,Jaiprakash Power Ventures Ltd.,Power
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services
JAMNAAUTO,Jamna Auto Industries Ltd.,Automobile and Auto Components
JSFB,Jana Small Finance Bank Ltd.,Financial Services
JINDALSAW,Jindal Saw Ltd.,Capital Goods
JSL,Jindal Stainless Ltd.,Metals & Mining
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining
JINDWORLD,Jindal Worldwide Ltd.,Textiles
JIOFIN,Jio Financial Services Ltd.,Financial Services
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare
JWL,Jupiter Wagons Ltd.,Capital Goods
JUSTDIAL,Justdial Ltd.,Consumer Services
JYOTHYLAB,Jyothy Labs Ltd.,Fast Moving Consumer Goods
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods
KPRMILL,K.P.R. Mill Ltd.,Textiles
KEI,KEI Industries Ltd.,Capital Goods
KNRCON,KNR Constructions Ltd.,Construction
KPIGREEN,KPI Green Energy Ltd.,Power
KPITTECH,KPIT Technologies Ltd.,Information Technology
KRBL,KRBL Ltd.,Fast Moving Consumer Goods
KRN,KRN Heat Exchanger and Refrigeration Ltd.,Capital Goods
KSB,KSB Ltd.,Capital Goods
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables
KPIL,Kalpataru Projects International Ltd.,Construction
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables
KSL,Kalyani Steels Ltd.,Capital Goods
KANSAINER,Kansai Nerolac Paints Ltd.,Consumer Durables
KTKBANK,Karnataka Bank Ltd.,Financial Services
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services
KSCL,Kaveri Seed Company Ltd.,Fast Moving Consumer Goods
KAYNES,Kaynes Technology India Ltd.,Capital Goods
KEC,Kec International Ltd.,Construction
KFINTECH,Kfin Technologies Ltd.,Financial Services
KIRLOSBROS,Kirloskar Brothers Ltd.,Capital Goods
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods
KIRLPNU,Kirloskar Pneumatic Company Ltd.,Capital Goods
KITEX,Kitex Garments Ltd.,Textiles
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare
LTF,L&T Finance Ltd.,Financial Services
LTTS,L&T Technology Services Ltd.,Information Technology
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services
LMW,LMW Ltd.,Capital Goods
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods
LTM,LTIMindtree Ltd.,Information Technology
LT,Larsen & Toubro Ltd.,Construction
LATENTVIEW,Latent View Analytics Ltd.,Information Technology
LAURUSLABS,Laurus Labs Ltd.,Healthcare
LXCHEM,Laxmi Organic Industries Ltd.,Chemicals
IXIGO,Le Travenues Technology Ltd.,Consumer Services
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services
LICI,Life Insurance Corporation of India,Financial Services
LINDEINDIA,Linde India Ltd.,Chemicals
LLOYDSENGG,Lloyds Engineering Works Ltd.,Capital Goods
LLOYDSENT,Lloyds Enterprises Ltd.,Metals & Mining
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining
LODHA,Lodha Developers Ltd.,Realty
LUMAXTECH,Lumax Auto Technologies Ltd.,Automobile and Auto Components
LUPIN,Lupin Ltd.,Healthcare
LUXIND,Lux Industries Ltd.,Textiles
MMTC,MMTC Ltd.,Services
MOIL,MOIL Ltd.,Metals & Mining
MRF,MRF Ltd.,Automobile and Auto Components
MSTCLTD,MSTC Ltd.,Services
MTARTECH,MTAR Technologies Ltd.,Capital Goods
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels
MAHSCOOTER,Maharashtra Scooters Ltd.,Financial Services
MAHSEAMLES,Maharashtra Seamless Ltd.,Capital Goods
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components
MAHLIFE,Mahindra Lifespace Developers Ltd.,Realty
MANINFRA,Man Infraconstruction Ltd.,Construction
MANAPPURAM,Manappuram Finance Ltd.,Financial Services
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels
MANKIND,Mankind Pharma Ltd.,Healthcare
MANORAMA,Manorama Industries Ltd.,Fast Moving Consumer Goods
MARICO,Marico Ltd.,Fast Moving Consumer Goods
MARKSANS,Marksans Pharma Ltd.,Healthcare
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components
MASTEK,Mastek Ltd.,Information Technology
MAXESTATES,Max Estates Ltd.,Realty
MFSL,Max Financial Services Ltd.,Financial Services
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods
MEDPLUS,Medplus Health Services Ltd.,Consumer Services
METROPOLIS,Metropolis Healthcare Ltd.,Healthcare
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components
MIDHANI,Mishra Dhatu Nigam Ltd.,Capital Goods
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services
MPHASIS,MphasiS Ltd.,Information Technology
BECTORFOOD,Mrs. Bectors Food Specialities Ltd.,Fast Moving Consumer Goods
MCX,Multi Commodity Exchange of India Ltd.,Financial Services
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services
NATCOPHARM,NATCO Pharma Ltd.,Healthcare
NBCC,NBCC (India) Ltd.,Construction
NCC,NCC Ltd.,Construction
NEOGEN,NEOGEN CHEMICALS LTD.,Chemicals
NESCO,NESCO Ltd.,Services
NHPC,NHPC Ltd.,Power
NLCINDIA,NLC India Ltd.,Power
NMDC,NMDC Ltd.,Metals & Mining
